球隊,比賽,投籃%,投籃命中,投籃出手,三分球%,三分球命中數,三分球出手數,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,平均得分,平均籃板,平均助攻,失誤,抄截/場,阻攻/場,犯規,賽季,賽制,城市,州
OKC,82,45.4,42.646,93.976,34.8,11.366,32.646,71.3,17.817,24.988,12.6,35.5,114.5,48.1,23.4,13.96,9.34,5.18,22.43,2018-2019,RegularSeason,Oklahoma City,Oklahoma
TOR,82,47.4,42.195,89.085,36.6,12.378,33.793,80.4,17.671,21.988,9.6,35.6,114.4,45.2,25.4,14.02,8.29,5.33,21.02,2018-2019,RegularSeason,Toronto,Ontario
SAC,82,46.4,43.183,93.134,37.8,11.305,29.939,72.6,16.512,22.744,11.0,34.4,114.2,45.4,25.4,13.35,8.28,4.43,21.35,2018-2019,RegularSeason,Sacramento,California
WAS,82,46.8,42.146,90.085,34.1,11.341,33.305,76.8,18.39,23.939,9.7,32.7,114.0,42.4,26.3,14.07,8.33,4.62,20.74,2018-2019,RegularSeason,Washington,D.C.
HOU,82,44.9,39.244,87.354,35.6,16.134,45.378,79.1,19.293,24.402,10.2,31.9,113.9,42.1,21.2,13.34,8.54,4.94,21.99,2018-2019,RegularSeason,Houston,Texas
ATL,82,45.1,41.366,91.756,35.2,13.012,37.0,75.2,17.598,23.39,11.6,34.5,113.3,46.1,25.8,17.0,8.2,5.1,23.6,2018-2019,RegularSeason,Atlanta,Georgia
MIN,82,45.6,41.622,91.256,35.1,10.085,28.744,78.7,19.146,24.329,11.3,33.5,112.5,44.8,24.6,13.1,8.33,5.01,20.29,2018-2019,RegularSeason,Minnesota,Minnesota
BOS,82,46.5,42.085,90.524,36.5,12.585,34.5,80.2,15.634,19.488,9.8,34.7,112.4,44.5,26.3,12.83,8.61,5.3,20.37,2018-2019,RegularSeason,Boston,Massachusetts
BKN,82,44.9,40.256,89.732,35.3,12.768,36.159,74.5,18.963,25.463,11.0,35.6,112.2,46.6,23.8,15.07,6.57,4.13,21.5,2018-2019,RegularSeason,Brooklyn,New York
LAL,82,47.0,42.573,90.549,33.3,10.329,30.988,69.9,16.293,23.293,10.2,36.4,111.8,46.6,25.6,15.66,7.54,5.37,20.74,2018-2019,RegularSeason,Los Angeles,California
UTA,82,46.8,40.415,86.366,35.6,12.11,34.012,73.6,18.78,25.512,10.0,36.4,111.7,46.4,26.0,15.12,8.09,5.89,21.07,2018-2019,RegularSeason,Utah,Utah
SAS,82,47.8,42.293,88.39,39.2,9.902,25.256,81.9,17.171,20.976,9.2,35.5,111.7,44.7,24.5,12.1,6.11,4.71,18.13,2018-2019,RegularSeason,San Antonio,Texas
DEN,82,46.6,41.939,90.049,35.1,11.012,31.354,75.5,15.78,20.902,11.9,34.5,110.7,46.4,27.4,13.44,7.73,4.43,20.05,2018-2019,RegularSeason,Denver,Colorado
CHA,82,44.8,40.207,89.78,35.1,11.915,33.939,79.7,18.415,23.11,9.9,33.9,110.7,43.8,23.2,12.21,7.21,4.94,18.9,2018-2019,RegularSeason,Charlotte,North Carolina
DAL,82,44.7,38.805,86.854,34.0,12.463,36.61,74.2,18.793,25.317,10.1,35.2,108.9,45.3,23.4,14.23,6.5,4.28,20.12,2018-2019,RegularSeason,Dallas,Texas
IND,82,47.5,41.341,87.012,37.4,9.5,25.378,75.2,15.829,21.061,9.3,33.7,108.0,43.0,26.0,13.68,8.7,4.93,19.44,2018-2019,RegularSeason,Indiana,Indiana
PHX,82,45.9,40.11,87.366,32.9,9.634,29.268,77.9,17.646,22.659,9.1,31.3,107.5,40.4,23.9,15.6,8.96,5.1,23.56,2018-2019,RegularSeason,Phoenix,Arizona
