排名,球員,球隊,比賽,先發,平均得分,平均籃板,平均助攻,場均時間,場上效率值,投籃%,投籃命中,投籃出手,三分球%,三分命中,三分出手,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,抄截/場,阻攻/場,失誤,犯規,賽季,賽制,主要位置,次要位置,城市,州
120,Immanuel Quickley,NYK,5,0,5.8,1.4,1.0,15.4,2.6,30.3,2.0,6.6,36.4,0.8,2.2,71.4,1.0,1.4,0.0,1.4,0.6,0.0,1.2,1.6,2020-2021,Playoffs,G,G,New York,New York
121,Desmond Bane,MEM,5,0,5.6,3.4,2.0,19.8,10.0,57.9,2.2,3.8,50.0,1.2,2.4,0.0,0.0,0.0,0.4,3.0,0.8,0.4,0.6,1.2,2020-2021,Playoffs,G,G,Memphis,Tennessee
122,Luke Kennard,LAC,15,0,5.6,0.9,0.5,14.6,4.6,47.7,2.067,4.333,41.2,1.4,3.4,50.0,0.067,0.133,0.3,0.6,0.1,0.0,0.2,1.0,2020-2021,Playoffs,G,G,LA,California
123,Wesley Matthews,LAL,6,1,5.5,1.7,0.3,18.3,4.0,30.3,1.667,5.5,28.0,1.167,4.167,100.0,1.0,1.0,0.8,0.8,0.3,0.0,0.0,2.2,2020-2021,Playoffs,G,G,Los Angeles,California
124,JaMychal Green,DEN,10,0,5.4,5.2,1.1,19.0,9.2,44.4,2.0,4.5,30.0,0.6,2.0,88.9,0.8,0.9,1.7,3.5,0.2,0.2,0.3,1.2,2020-2021,Playoffs,F,C,Denver,Colorado
125,Maxi Kleber,DAL,7,4,5.3,3.6,1.4,26.7,7.7,40.0,1.714,4.286,40.0,1.143,2.857,71.4,0.714,1.0,0.7,2.9,0.4,0.0,0.1,2.7,2020-2021,Playoffs,F,F,Dallas,Texas
126,Matisse Thybulle,PHI,12,1,5.3,1.4,0.3,18.3,6.5,48.1,2.083,4.333,32.4,0.917,2.833,40.0,0.167,0.417,0.3,1.1,1.3,0.9,0.2,2.4,2020-2021,Playoffs,G,F,Philadelphia,Pennsylvania
127,Marc Gasol,LAL,5,1,5.2,3.8,3.0,17.6,11.6,61.5,1.6,2.6,63.6,1.4,2.2,75.0,0.6,0.8,0.8,3.0,0.8,0.8,0.8,3.2,2020-2021,Playoffs,C,C,Los Angeles,California
128,Taj Gibson,NYK,5,3,5.0,7.0,0.8,27.6,13.2,60.0,2.4,4.0,0.0,0.0,0.0,100.0,0.2,0.2,3.2,3.8,1.6,1.0,0.6,2.6,2020-2021,Playoffs,F,F,New York,New York
129,Serge Ibaka,LAC,2,0,5.0,2.0,1.0,9.0,8.0,50.0,1.5,3.0,0.0,0.0,1.0,100.0,2.0,2.0,0.5,1.5,0.5,1.5,0.5,0.5,2020-2021,Playoffs,F,F,LA,California
130,Patrick Beverley,LAC,17,7,4.9,2.4,1.4,19.0,7.5,42.6,1.706,4.0,35.1,0.765,2.176,85.7,0.706,0.824,0.6,1.8,0.7,0.7,0.2,2.1,2020-2021,Playoffs,G,G,LA,California
131,Josh Richardson,DAL,7,0,4.9,1.6,0.7,13.4,4.1,39.3,1.571,4.0,30.0,0.429,1.429,100.0,1.286,1.286,0.4,1.1,0.3,0.0,0.9,1.1,2020-2021,Playoffs,G,G,Dallas,Texas
132,Trevor Ariza,MIA,4,4,4.8,5.8,0.5,24.0,7.3,30.4,1.75,5.75,29.4,1.25,4.25,0.0,0.0,0.0,0.5,5.3,0.8,0.3,0.8,2.8,2020-2021,Playoffs,F,F,Miami,Florida
133,George Hill,PHI,12,0,4.7,1.3,1.5,17.1,5.3,44.2,1.583,3.583,42.1,0.667,1.583,76.9,0.833,1.083,0.4,0.9,0.7,0.3,0.8,1.5,2020-2021,Playoffs,G,G,Philadelphia,Pennsylvania
134,Dwight Howard,PHI,12,0,4.7,6.3,0.7,12.4,8.8,53.3,1.333,2.5,0.0,0.0,0.083,60.0,2.0,3.333,2.2,4.1,0.2,0.5,1.0,2.6,2020-2021,Playoffs,C,F,Philadelphia,Pennsylvania
135,Markus Howard,DEN,9,0,4.7,0.8,0.4,12.4,3.4,40.5,1.667,4.111,42.3,1.222,2.889,50.0,0.111,0.222,0.1,0.7,0.0,0.1,0.0,1.1,2020-2021,Playoffs,G,G,Denver,Colorado
136,Nerlens Noel,NYK,5,2,4.6,4.0,0.2,18.4,7.8,50.0,1.0,2.0,0.0,0.0,0.0,81.3,2.6,3.2,2.0,2.0,0.8,0.6,0.8,3.0,2020-2021,Playoffs,C,F,New York,New York
137,Dario Saric,PHX,14,0,4.5,2.5,1.0,10.5,6.0,46.7,1.5,3.214,44.4,0.571,1.286,92.9,0.929,1.0,0.6,1.9,0.1,0.1,0.4,1.5,2020-2021,Playoffs,F,C,Phoenix,Arizona
138,Shake Milton,PHI,12,0,4.3,0.8,0.8,10.1,2.5,31.9,1.25,3.917,42.1,0.667,1.583,93.3,1.167,1.25,0.0,0.8,0.3,0.1,0.9,1.5,2020-2021,Playoffs,G,F,Philadelphia,Pennsylvania
139,P.J. Tucker,MIL,23,19,4.3,4.8,1.1,29.6,8.2,38.8,1.652,4.261,32.2,0.826,2.565,75.0,0.13,0.174,2.1,2.7,1.0,0.1,0.4,3.3,2020-2021,Playoffs,F,F,Milwaukee,Wisconsin
140,Rajon Rondo,LAC,13,0,4.2,2.6,3.8,16.9,7.2,34.0,1.385,4.077,39.3,0.846,2.154,66.7,0.615,0.923,0.3,2.3,0.4,0.2,1.1,1.4,2020-2021,Playoffs,G,G,LA,California
141,Landry Shamet,BKN,12,0,4.2,1.8,0.6,17.2,4.5,43.9,1.5,3.417,38.5,0.833,2.167,80.0,0.333,0.417,0.3,1.5,0.4,0.1,0.5,1.6,2020-2021,Playoffs,G,G,Brooklyn,New York
142,Torrey Craig,PHX,22,0,4.0,2.9,0.4,12.1,5.0,42.7,1.455,3.409,40.5,0.682,1.682,61.5,0.364,0.591,0.9,2.0,0.0,0.4,0.5,1.5,2020-2021,Playoffs,F,F,Phoenix,Arizona
143,Ersan Ilyasova,UTA,1,0,4.0,0.0,0.0,3.0,3.0,50.0,1.0,2.0,0.0,0.0,1.0,100.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-2021,Playoffs,F,F,Utah,Utah
144,Alex Len,WAS,5,3,4.0,2.2,0.4,8.4,4.8,57.1,1.6,2.8,0.0,0.0,0.0,57.1,0.8,1.4,0.8,1.4,0.2,0.0,0.2,1.6,2020-2021,Playoffs,C,C,Washington,D.C.
145,Andre Iguodala,MIA,4,0,3.8,3.0,1.3,17.8,7.0,54.5,1.5,2.75,42.9,0.75,1.75,0.0,0.0,0.0,0.8,2.3,1.0,0.5,1.3,2.0,2020-2021,Playoffs,G,F,Miami,Florida
146,Mike James,BKN,9,0,3.7,1.8,1.3,11.4,3.4,32.6,1.556,4.778,31.3,0.556,1.778,0.0,0.0,0.0,0.2,1.6,0.2,0.0,0.3,0.7,2020-2021,Playoffs,G,G,Brooklyn,New York
147,Derrick Favors,UTA,11,0,3.4,4.2,0.3,13.2,7.4,69.6,1.455,2.091,0.0,0.0,0.0,55.6,0.455,0.818,1.7,2.5,0.2,0.9,0.5,2.3,2020-2021,Playoffs,F,F,Utah,Utah
148,Payton Pritchard,BOS,5,0,3.4,1.8,2.4,13.4,5.2,35.3,1.2,3.4,30.0,0.6,2.0,100.0,0.4,0.4,0.4,1.4,0.4,0.0,0.6,0.8,2020-2021,Playoffs,G,G,Boston,Massachusetts
149,Grant Williams,BOS,5,0,3.4,2.0,0.8,11.4,5.8,50.0,1.2,2.4,50.0,0.4,0.8,100.0,0.6,0.6,0.6,1.4,0.2,0.8,0.2,1.4,2020-2021,Playoffs,F,F,Boston,Massachusetts
